ts,swLong,swLat,neLong,neLat,tweet
1341873605,-0.2159633,51.48387,-0.109978,51.539768,"@YouStalkMe Anything wrong? You can talk to me you know"
1341873607,-0.2159633,51.48387,-0.109978,51.539768,"@tweethead @Telegraph So you go out where its dark. Move onto a narrow boat it is dark most of the time."
1341873608,-0.419679,51.491499,-0.243335,51.559366,"@christy_downing it’s cause of the room! You dunno how to fill it :’) aww good plan, how is everything? All good? :)"
1341873609,0.065775,51.508766,0.189997,51.599475,"""@ZahraWaldorff: @EricaPyne haterrrr gonna hate, potatoes gonna potate!"" looool wat are you on about loool you funny mosquito"
1341873613,-0.2159633,51.48387,-0.109978,51.539768,"So far, thats Pog, Dempsey, AJ, Murphy and potentially Dembele out of FFC with the season a month away. This better be good, Jol. #ffc"
1341873614,-0.2159633,51.48387,-0.109978,51.539768,"Watched the worst play of my life this evening. Main character/antagonist kills woman's husband then proceeds to tell she'll make good mom."
1341873618,-0.2159633,51.48387,-0.109978,51.539768,"Acabei de publicar uma foto  @ Trafalgar Square http://t.co/hn49sogv"
1341873619,-0.2159633,51.48387,-0.109978,51.539768,"need 2 eat"
1341873621,-0.2159633,51.48387,-0.109978,51.539768,"I still fit 11-12 year old jammies. Only wear these ones because Minnie Mouse is on them!"
1341873622,-0.5093057,51.286606,0.334433,51.691672,"@bieberseductive assim asjdhaksjhdjksadh"
1341873626,-0.2159633,51.48387,-0.109978,51.539768,"The Orb Feat. Lee Scratch Perry – Hold Me Upsetter http://t.co/Cwpe46bA #6Music #NowPlaying"
1341873627,-0.2159633,51.48387,-0.109978,51.539768,"Random Impulse – Put It On My Card http://t.co/Sx8DKR6i #Radio1 #NowPlaying"
1341873627,0.0748022,51.408711,0.223574,51.514998,"@Taxeee @KARLcabbyJAMES no I'll leave it lol"
1341873628,-0.2159633,51.48387,-0.109978,51.539768,"im empty"
1341873629,-0.457447,51.420633,-0.243419,51.502851,"@SammyJayn lol if you say so ;D"
1341873632,-0.1415223,51.5185518,-0.076305,51.5749096,"@helenium Beavis and Butthead anyone?"
1341873634,-0.1415223,51.5185518,-0.076305,51.5749096,"bromance COD session with @Mitchelll143."
1341873635,-0.2159633,51.48387,-0.109978,51.539768,"@OfficialChip TWAT"
1341873636,-0.5093057,51.286606,0.334433,51.691672,"@LaysCarmo meu celular tá descarregado :|"
1341873640,-0.0335507,51.423888,0.123987,51.513563,"@Dborahh_x just had it bbe ... it all getting to much this flat is making me pay out to much money and i need it as i getting my lips"
1341873640,-0.2159633,51.48387,-0.109978,51.539768,"format atar #giderim @siyahodam :) http://t.co/VRRpypVf"
1341873640,-0.2159633,51.48387,-0.109978,51.539768,"@JasmineBubz yeh I did in some but if I didn't then just tag yourself or save it I duno lol , Btw I text you thats my new no. Xx"
1341873644,-0.2159633,51.48387,-0.109978,51.539768,"Valrhona chocolate delice, cherry sorbet  @ Galvin Bistro de Luxe http://t.co/z6SK41Cl"
1341873645,-0.5093057,51.286606,0.334433,51.691672,"No me preguntes por qué, pero me he acordado de ti, @VeronicaDPA http://t.co/QdDNveSY"
1341873645,-0.1415223,51.5185518,-0.076305,51.5749096,"@james_willett bit late for resolve shenanigans ? Flat sorted btw mate. Down in sept ;)"
1341873648,-0.5093057,51.286606,0.334433,51.691672,"Acosadoras &gt;:c dejen MI propiedad en paz &gt;:B"
1341873653,-0.5093057,51.286606,0.334433,51.691672,"@BillyDanielVC @boriscalzadia @Fanaticos21 no ni m... maje se a ido por esos hdp periodistas que me la recontra chu... eso incapases de"
1341873656,-0.1415223,51.5185518,-0.076305,51.5749096,"@simonnash1980 am following u, isn't that enough!! U r so greedy.x"
1341873658,-0.5093057,51.286606,0.334433,51.691672,"@GuiPitta_ Guii amoor"
1341873658,-0.5093057,51.286606,0.334433,51.691672,"@ifJustinBieber JKSHDASLKJDASD9AS7U DASDASJDHASKJDHKJASDH oh mds, sério??"
1341873663,-0.5093057,51.286606,0.334433,51.691672,"@Ron_Tetera http://t.co/wvkE7uvJ"
1341873664,-0.5093057,51.286606,0.334433,51.691672,"@ifJustinBieber bora"
1341873664,-0.2159633,51.48387,-0.109978,51.539768,"Hey @shaunstuart144 - What is the best way / who is the best person to contact about Connect Groups in London. Thanks, Adam."
1341873668,-0.5093057,51.286606,0.334433,51.691672,"@aLoyalCarrot THAT'S OVBIOUS. es chongo brotheer, osea, si me da medio celitos, pero es chongo (: chilleaaaaa"
1341873669,0.0748022,51.408711,0.223574,51.514998,"@thedelbarnes Rodellega &amp; Moses...Nuff Said"
1341873671,0.137939,51.484156,0.334433,51.635922,"I-I, I’m not living life
I’m not living right
I’m not living if you’re not by my side
Oooh-ohhh"
1341873678,-0.1415223,51.5185518,-0.076305,51.5749096,"GAR my tesco pasta fork broke T___T'"
